id,observed_on_string,time_observed_at,created_time_zone,created_at,updated_at,description,user_id,user_login,quality_grade,reviewed_by,faves_count,num_identification_agreements,num_identification_disagreements,identifications_most_agree,identifications_most_disagree,captive,place_guess,place_ids,longitude,latitude,positional_accuracy,geoprivacy,taxon_geoprivacy,obscured,species_guess,taxon_id,taxon_name,preferred_common_name,iconic_taxon_name,taxon_rank,taxon_parent_id,taxon_native,taxon_endemic,taxon_threatened,taxon_search_rank,taxon_observations,identifications
11479007,2018-04-27 7:52:34 am BST,2018-04-27T07:52:34+00:00,Etc/UTC,2018-04-27T07:06:17+00:00,2018-04-27T09:26:56+00:00,,159021,muki,research,"[160, 353381, 599476, 664459, 743476]",0,4,0,True,False,False,"6-7 Griffin Cl, London, UK","[6857, 6858, 30322, 59614, 66357, 67952, 80627, 81490, 96372, 97391, 108692, 149132]",-0.2284869403,51.5506362915,,,,False,lesser celandine,204321,Ficaria verna,lesser celandine,Plantae,species,204212,True,False,False,27624,27624,"[{'user_id': 353381, 'category': 'improving', 'disagreement': None}, {'user_id': 743476, 'category': 'supporting', 'disagreement': False}, {'user_id': 664459, 'category': 'supporting', 'disagreement': False}, {'user_id': 160, 'category': 'supporting', 'disagreement': False}]"
11480212,2018-04-27 8:39:41 am BST,2018-04-27T08:39:41+01:00,Europe/London,2018-04-27T09:02:52+01:00,2019-01-29T21:16:34+00:00,,664459,lucyrobinsonnhm,research,"[29729, 42615, 599476, 664459, 790453, 1082970]",0,4,0,True,False,False,"19 Exhibition Rd, Kensington, London SW7 2HE, UK","[6857, 6858, 30360, 59614, 66357, 67952, 80627, 81490, 96372, 97391, 108692, 149132]",-0.1736111045,51.4952774048,,,open,False,Pigeon biset domestique,122767,Columba livia domestica,Feral Pigeon,Aves,variety,3017,False,False,False,43329,43329,"[{'user_id': 29729, 'category': 'supporting', 'disagreement': False}, {'user_id': 664459, 'category': 'improving', 'disagreement': False}, {'user_id': 42615, 'category': 'improving', 'disagreement': False}, {'user_id': 664459, 'category': 'supporting', 'disagreement': False}, {'user_id': 790453, 'category': 'supporting', 'disagreement': False}, {'user_id': 664459, 'category': 'supporting', 'disagreement': False}, {'user_id': 1082970, 'category': 'supporting', 'disagreement': False}]"
11480902,Fri Apr 27 2018 08:34:31 GMT+0100 (GMT+1),2018-04-27T08:34:31+02:00,Europe/Amsterdam,2018-04-27T10:42:01+02:00,2018-04-27T13:01:49+02:00,,908315,tess26,casual,[908315],0,0,0,False,False,True,"58 Shuttleworth Road, London, England, GB","[6857, 6858, 30360, 59614, 66357, 67952, 80627, 81490, 96372, 97391, 108692]",-0.1691022796,51.472981346,36848,,open,False,Pigeon biset domestique,57635,Hyacinthoides hispanica,Spanish Bluebell,Plantae,species,56095,False,False,False,2813,2813,"[{'user_id': 908315, 'category': 'leading', 'disagreement': False}]"
11481097,Fri Apr 27 2018 09:54:35 GMT+0100 (GMT+1),2018-04-27T09:54:35+02:00,Europe/Amsterdam,2018-04-27T10:54:45+02:00,2018-04-27T22:23:41+02:00,,796473,bryonycross,research,"[160, 353381, 599476, 796473]",0,2,0,True,False,False,"Hyde Park, London, England, GB","[6857, 6858, 30423, 59614, 66357, 67952, 80627, 81490, 96372, 97391, 108692, 149132]",-0.1615163404,51.5080757859,10,,open,False,Green Alkanet,166466,Pentaglottis sempervirens,Green Alkanet,Plantae,species,156638,False,False,False,4639,4639,"[{'user_id': 160, 'category': 'improving', 'disagreement': None}, {'user_id': 353381, 'category': 'supporting', 'disagreement': False}, {'user_id': 796473, 'category': 'supporting', 'disagreement': False}]"
11482247,2018-04-27 8:42:21 am BST,2018-04-27T08:42:21+01:00,Europe/London,2018-04-27T11:09:55+01:00,2018-04-27T16:37:31+01:00,,664459,lucyrobinsonnhm,research,"[160, 353381, 599476, 664459]",0,2,0,True,False,False,"19 Exhibition Rd, Kensington, London SW7 2HE, UK","[6857, 6858, 30360, 59614, 66357, 67952, 80627, 81490, 96372, 97391, 108692, 127213, 149132]",-0.1738888919,51.4961128235,10,,open,False,London Plane,552449,Platanus × hispanica,London Plane,Plantae,hybrid,49664,False,False,False,5866,5866,"[{'user_id': 160, 'category': 'supporting', 'disagreement': False}, {'user_id': 664459, 'category': 'improving', 'disagreement': False}, {'user_id': 353381, 'category': 'supporting', 'disagreement': False}]"
11482706,Fri Apr 27 2018 11:40:06 GMT+0100 (GMT+1),2018-04-27T11:40:06+02:00,Europe/Amsterdam,2018-04-27T12:40:31+02:00,2018-04-27T19:18:08+02:00,,796473,bryonycross,casual,[796473],0,0,0,False,False,True,"Hyde Park, London, England, GB","[6857, 6858, 30423, 59614, 66357, 67952, 80627, 81490, 96372, 97391, 108692, 149132]",-0.167576205,51.5105064959,10,,open,False,London Plane,119269,Quercus stellata,post oak,Plantae,species,861033,False,False,False,6135,6135,"[{'user_id': 796473, 'category': 'leading', 'disagreement': False}]"
11483083,Fri Apr 27 2018 12:01:15 GMT+0100 (GMT+1),2018-04-27T12:01:15+02:00,Europe/Amsterdam,2018-04-27T13:01:48+02:00,2018-04-27T19:18:09+02:00,,796473,bryonycross,needs_id,"[3098, 384930, 599476, 796473, 1002688]",0,0,0,False,False,False,"Hyde Park, London, England, GB","[6857, 6858, 30423, 59614, 66357, 67952, 80627, 81490, 96372, 97391, 108692, 149132]",-0.1679334417,51.5107712383,10,,open,False,London Plane,333586,Oligochaeta,Earthworms and allies,Animalia,subclass,63089,False,False,False,42225,42225,"[{'user_id': 796473, 'category': 'leading', 'disagreement': False}]"
11484150,2018-04-27 10:45:59 AM GMT+01:00,2018-04-27T10:45:59+02:00,Europe/Amsterdam,2018-04-27T13:44:13+02:00,2018-04-27T13:44:13+02:00,,903018,abilila,casual,[903018],0,0,0,False,False,False,"22 Savernake Rd, London NW3 2JP, UK","[6857, 6858, 30328, 59614, 66357, 67952, 80627, 81490, 96372, 97391, 108692, 149132]",-0.1577003,51.5558026,18,,open,False,Pigeons and Doves,2708,Columbiformes,Pigeons and Doves,Aves,order,3,False,False,False,388489,388489,"[{'user_id': 903018, 'category': 'leading', 'disagreement': False}]"
11484151,2018-04-27 11:08:52 AM GMT+01:00,2018-04-27T11:08:52+02:00,Europe/Amsterdam,2018-04-27T13:44:14+02:00,2018-04-27T13:47:29+02:00,Moss,903018,abilila,needs_id,"[3098, 20017, 384930, 599476, 1002688]",0,0,0,False,False,False,"22 Savernake Rd, London NW3 2JP, UK","[6857, 6858, 30328, 59614, 66357, 67952, 80627, 81490, 96372, 97391, 108692, 149132]",-0.1576985,51.5558039,19,,open,False,Pigeons and Doves,311249,Bryophyta,mosses,Plantae,phylum,47126,False,False,False,348162,348162,"[{'user_id': 20017, 'category': 'leading', 'disagreement': None}]"
11484294,Fri Apr 27 2018 12:47:13 GMT+0100 (GMT+1),2018-04-27T12:47:13+02:00,Europe/Amsterdam,2018-04-27T13:48:29+02:00,2018-04-28T18:22:36+02:00,"Large tree, medium sized leaves that are mostly rounded except pointed tips",783022,penguingalaxy,needs_id,"[160, 3098, 384930, 599476, 811841, 1002688]",0,2,0,True,False,False,"University College London, London, England, GB","[6857, 6858, 30328, 59614, 66357, 67952, 80627, 81490, 96372, 97391, 108692, 149132]",-0.1344785927,51.5244812686,68,,open,False,Limes,54856,Tilia,"Lindens, Basswoods, and Lime Trees",Plantae,genus,924978,False,False,False,34722,34722,"[{'user_id': 160, 'category': 'improving', 'disagreement': None}, {'user_id': 811841, 'category': 'supporting', 'disagreement': False}]"
